,Date file created,Month of intercept,Time of intercept,Data sampling period,Sub region of trip,Kind of day,Fish target species,Type of gear,Mode of fishing,Mode of fishing collapsed,Collapsed area of fishing,Distance from shore,Hours on boat,Hours fished,Catch fish,Number of fish avail for inspection
14070,2019-07-26,6,1415,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,RED HAKE,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,6.0,No,0
14073,2018-07-20,6,1424,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,YELLOWFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),12.0,5.0,Yes,2
14074,2018-07-20,6,1430,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,YELLOWFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),12.0,5.0,Yes,1
14075,2018-07-20,6,1438,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,YELLOWFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),12.0,5.0,Yes,1
14079,2018-07-20,6,1659,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),10.0,9.0,Yes,2
14082,2019-07-26,5,1309,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),4.0,2.5,Yes,2
14083,2019-07-26,5,1320,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),5.0,3.0,No,0
14084,2019-07-26,5,1323,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),5.0,3.0,No,0
14085,2019-07-26,5,1345,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),4.0,3.0,No,0
14086,2019-07-26,5,1415,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.5,Yes,1
14088,2019-07-26,5,1425,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.5,Yes,1
14090,2019-07-26,6,1620,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,6.0,No,0
14093,2019-07-26,6,1339,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),2.0,1.5,Yes,1
14095,2019-07-26,6,1156,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),5.0,3.0,Yes,2
14096,2019-07-26,6,1159,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),5.0,3.0,Yes,1
14097,2019-07-26,6,1344,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,5.0,Yes,2
14102,2018-07-20,5,1915,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.0,Yes,5
14104,2018-07-20,6,1150,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),4.0,3.0,Yes,3
14105,2018-07-20,6,1418,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),4.0,3.0,Yes,1
14106,2018-07-20,6,1422,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),4.0,3.0,No,0
14107,2018-07-20,6,1558,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),9.0,8.0,Yes,10
14112,2018-07-20,6,1635,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,6.0,Yes,1
14113,2019-07-26,6,1203,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,5.0,Yes,130
14114,2019-07-26,6,1232,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),4.0,2.5,No,0
14115,2019-07-26,6,1300,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,TUNA GENUS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.0,Yes,1
14118,2019-07-26,6,1438,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),9.0,6.0,Yes,2
14119,2019-07-26,6,1527,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,5.0,Yes,2
14121,2018-07-20,6,1416,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),9.0,3.5,Yes,1
14122,2018-07-20,6,1418,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),9.0,3.5,Yes,1
14124,2018-07-20,6,1432,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),12.0,6.0,No,0
14127,2018-07-20,6,1558,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,4.0,No,0
14128,2018-07-20,6,1601,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,4.0,No,0
14129,2018-07-20,6,1613,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,5.0,No,0
14138,2018-07-20,6,1638,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),9.0,2.0,Yes,1
14140,2018-07-20,6,1438,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.5,5.0,No,0
14141,2018-07-20,6,1443,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.5,5.0,No,0
14143,2018-07-20,6,1538,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,4.0,No,0
14144,2018-07-20,6,1541,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,4.0,No,0
14145,2018-07-20,6,1704,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,5.0,Yes,1
14147,2019-07-26,5,1341,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,6.0,Yes,15
14150,2019-07-26,5,1417,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,3.0,Yes,40
14153,2019-07-26,5,1444,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),9.5,5.5,Yes,23
14155,2019-07-26,5,1634,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,6.0,Yes,41
14161,2019-07-26,5,1522,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,UNIDENTIFIED (SHARKS),hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),9.5,4.0,Yes,1
14186,2018-07-20,5,1340,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,4.0,Yes,12
14200,2019-07-26,6,1458,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.0,No,0
14201,2019-07-26,6,1458,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.0,No,0
14202,2019-07-26,6,1458,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.0,No,0
14203,2019-07-26,6,1458,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.0,No,0
14204,2019-07-26,6,1558,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),12.0,6.0,No,0
14211,2019-07-26,6,1248,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),10.0,5.5,Yes,1
14216,2019-07-26,6,1623,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),10.5,7.0,Yes,1
14217,2019-07-26,6,1625,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),10.5,7.0,Yes,1
14218,2019-07-26,6,1655,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),16.0,7.0,No,0
14225,2019-07-26,5,1216,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SEA BASS GENUS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),4.5,3.5,Yes,3
14227,2019-07-26,5,1424,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SEA BASS FAMILY,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,6.0,No,0
14228,2019-07-26,5,1656,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,4.5,Yes,3
14229,2019-07-26,5,1710,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLACK SEA BASS,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.5,5.0,Yes,16
14236,2019-07-26,6,1145,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLUEFIN TUNA,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),9.0,4.0,Yes,4
14237,2019-07-26,6,1248,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.0,No,0
14238,2019-07-26,6,1442,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BIGEYE,hook & line,Private/Rental boat,Private/Rental Boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),25.0,18.0,No,0
14245,2018-07-20,6,1150,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.0,Yes,1
14246,2018-07-20,6,1152,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.0,Yes,1
14247,2018-07-20,6,1244,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.5,3.5,Yes,1
14248,2018-07-20,6,1302,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.5,6.0,Yes,4
14252,2018-07-20,6,1412,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,8.0,6.0,Yes,5
14254,2018-07-20,6,1553,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.5,4.5,Yes,5
14257,2019-07-26,6,1253,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.0,Yes,1
14262,2019-07-26,6,1130,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,2.0,1.5,Yes,1
14263,2019-07-26,6,1144,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.0,Yes,1
14272,2019-07-26,5,1430,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,BLUEFISH,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.5,4.0,Yes,6
14274,2019-07-26,5,1614,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,8.0,8.0,Yes,11
14275,2019-07-26,6,1126,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.5,3.0,Yes,1
14281,2018-07-20,5,1011,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,2.0,1.5,Yes,2
14286,2018-07-20,6,1206,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.0,2.0,Yes,2
14289,2018-07-20,6,1314,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,7.5,6.0,Yes,1
14291,2018-07-20,6,1405,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.0,No,0
14297,2018-07-20,6,1351,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.0,Yes,2
14300,2018-07-20,6,1415,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,4.0,Yes,4
14303,2019-07-26,5,1402,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.5,Yes,1
14304,2019-07-26,5,1407,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.5,Yes,1
14306,2019-07-26,5,1223,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.5,4.5,Yes,4
14308,2019-07-26,5,1641,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.0,2.5,Yes,4
14311,2019-07-26,6,1117,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.0,Yes,1
14319,2019-07-26,6,1341,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.0,Yes,4
14333,2018-07-20,5,1420,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,4.0,Yes,3
14338,2018-07-20,5,1348,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,3.0,No,0
14341,2018-07-20,5,1127,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.0,Yes,2
14348,2018-07-20,5,1354,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.0,Yes,1
14349,2018-07-20,5,1629,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,7.0,5.0,Yes,1
14353,2018-07-20,5,1235,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,7.0,6.0,Yes,5
14359,2018-07-20,5,1355,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.5,4.0,Yes,1
14360,2018-07-20,5,1612,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.5,6.0,Yes,4
14361,2018-07-20,5,1625,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,10.0,8.0,No,0
14363,2018-07-20,5,1320,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.5,3.0,No,0
14366,2018-07-20,5,1404,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.5,Yes,3
14370,2018-07-20,5,1419,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.5,Yes,3
14372,2018-07-20,5,1554,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,7.0,5.0,Yes,5
14375,2018-07-20,5,1655,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.0,Yes,2
14379,2018-07-20,5,1222,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.0,No,0
14380,2018-07-20,5,1302,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.0,Yes,1
14381,2018-07-20,6,1350,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.0,Yes,1
14382,2018-07-20,6,1411,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,7.0,6.5,No,0
14385,2018-07-20,6,1351,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.0,2.5,Yes,1
14389,2018-07-20,6,1333,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.5,No,0
14390,2018-07-20,6,1337,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,8.5,8.0,No,0
14391,2018-07-20,6,1347,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.5,Yes,1
14398,2019-07-26,5,1554,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.5,No,0
14400,2019-07-26,5,1139,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,3.5,Yes,1
14403,2019-07-26,5,1321,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,BLUEFISH,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.5,2.0,Yes,1
14407,2019-07-26,6,1526,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,2.0,1.5,No,0
14411,2019-07-26,6,1507,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,7.0,6.0,Yes,1
14412,2018-07-20,5,1403,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,2.5,No,0
14413,2018-07-20,5,1432,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.0,Yes,1
14415,2018-07-20,5,1521,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekday,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,8.0,6.0,Yes,1
14416,2018-07-20,6,1312,May/June,Mid-Atlantic (NY; NJ; DE; MD; VA),Weekend,SUMMER FLOUNDER,Spear,Private/Rental boat,Private/Rental Boat,Inland,not applicable,2.0,1.0,Yes,3
